DatGeracaoConjuntoDados,DscConjuntoUnidadeConsumidora,DscAlimentadorSubestacao,DscSubestacaoDistribuicao,NumOrdemInterrupcao,DscTipoInterrupcao,IdeMotivoInterrupcao,DataInicioInterrupcao,HoraIcicioInterrupcao,DatFimInterrupcao,DscFatoGeradorInterrupcao,NumNivelTensao,NumUnidadeConsumidora,NumConsumidorConjunto,NumAno,NomAgenteRegulado,SigAgente,NumCPFCNPJ,VlrIndiceEnviado
26/05/2023,TRINDADE,TDD-01C5,TRINDADE,15326228_14086699,N弛 Programada,0,29/11/2017,08:18:00,01/12/2017 08:27,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,36413,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2820
26/05/2023,BOM NOME,SJB-01J3,SAO JOSE DO BELMONTE,15326358_14086719,N弛 Programada,1,29/11/2017,09:11:00,01/12/2017 08:36,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,26618,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,ARARIPINA,ARR-01C7,ARARIPINA,15326910_14087323,N弛 Programada,0,29/11/2017,15:10:00,01/12/2017 15:17,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,29983,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1296
26/05/2023,PAU AMARELO,PAM-01C8,PAU AMARELO,15327204_14088929,N弛 Programada,0,29/11/2017,18:12:00,03/12/2017 11:49,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,65319,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",60
26/05/2023,ARARIPINA,ARR-01C7,ARARIPINA,15327657_14086779,N弛 Programada,0,30/11/2017,08:50:00,01/12/2017 09:33,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,29983,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1756
26/05/2023,MASSANGANO II,MSD-01S1,MASSANGANO II,15327762_14086847,N弛 Programada,0,30/11/2017,09:33:00,01/12/2017 11:02,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,10590,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3796
26/05/2023,BOM NOME,BNO-01Y3,BOM NOME,15327862_14087133,N弛 Programada,0,30/11/2017,10:16:00,01/12/2017 14:11,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,1,26618,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,SERRA TALHADA,SRT-01M5,SERRA TALHADA,15327884_14086724,N弛 Programada,0,30/11/2017,10:34:00,01/12/2017 08:45,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - SUBTENSAO,380,1,52321,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PIRAPAMA I,PRU-01C3,PIRAPAMA I,15327888_14086599,N弛 Programada,0,30/11/2017,10:35:00,01/12/2017 09:45,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - QUEIMADA OU INCENDIO,380,1,12863,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2038
26/05/2023,SERRA TALHADA,SRT-01M2,SERRA TALHADA,15327911_14086683,N弛 Programada,0,30/11/2017,10:50:00,01/12/2017 07:39,INTERNO - NAO PROGRAMADA - TERCEIROS - OBJETO NA REDE,13800,5,52321,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,VICENCIA,VCA-01C2,VICENCIA,15327916_14086447,N弛 Programada,0,30/11/2017,10:54:00,01/12/2017 18:35,INTERNO - NAO PROGRAMADA - TERCEIROS - ROUBO,13800,1,21972,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",363
26/05/2023,PARATIBE I,PAT-01C1,PARATIBE I,15328032_14086721,N弛 Programada,0,30/11/2017,12:00:00,01/12/2017 08:33,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,34038,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PONTEZINHA,PTZ-01C9,PONTEZINHA,15328093_14087430,N弛 Programada,1,30/11/2017,12:30:00,01/12/2017 18:19,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,44675,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",141
26/05/2023,MORENO,MOR-01M4,MORENO,15328166_14086664,N弛 Programada,0,30/11/2017,13:26:00,01/12/2017 07:25,INTERNO - NAO PROGRAMADA - MEIO AMBIENTE - VENTO,13800,164,16483,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3466
26/05/2023,SAO BENEDITO,SBT-01S5,SAO BENEDITO,15328188_14089014,N弛 Programada,0,30/11/2017,13:43:00,03/12/2017 12:57,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,62126,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,BARRA DE BEBEDOURO,PSU-01P1,PONTAL SUL I,15328286_14087020,N弛 Programada,1,30/11/2017,14:40:00,01/12/2017 12:10,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,380,1,13532,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,JABOATAO,JBT-01C6,JABOATAO,15328292_14086341,N弛 Programada,0,30/11/2017,14:43:00,02/12/2017 10:33,INTERNO - NAO PROGRAMADA - TERCEIROS - ROUBO,380,1,39500,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",1312
26/05/2023,SAO BENEDITO,SBT-01S7,SAO BENEDITO,15328302_14086857,N弛 Programada,0,30/11/2017,14:46:00,01/12/2017 10:52,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,62126,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
26/05/2023,PETROLINA I,PTU-01X5,PETROLINA I,15328331_14087005,N弛 Programada,0,30/11/2017,15:02:00,01/12/2017 12:49,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,23093,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",580
26/05/2023,VARZEA,VZA-01V6,VARZEA,15328347_14087866,N弛 Programada,0,30/11/2017,15:13:00,02/12/2017 08:11,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,55738,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",486
26/05/2023,LIMOEIRO,LME-01C1,LIMOEIRO,15328367_14087963,N弛 Programada,0,30/11/2017,15:21:00,02/12/2017 10:13,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,30089,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",3972
26/05/2023,BONITO,BON-01S6,BONITO,15328406_14086783,N弛 Programada,1,30/11/2017,15:48:00,01/12/2017 09:40,INTERNO - NAO PROGRAMADA - NAO CLASSIFICADA - NAO CLASSIFICADA,13800,1,12753,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",2239
26/05/2023,CAXANGA,CAX-01P2,CAXANGA,15328418_14086728,N弛 Programada,0,30/11/2017,15:59:00,01/12/2017 07:55,INTERNO - NAO PROGRAMADA - PROPRIAS DO SISTEMA - FALHA DE MATERIAL OU EQUIPAMENTO,380,1,35254,2017,COMPANHIA ENERG慎ICA DE PERNAMBUCO,CELPE,"1,08E+13",0
